!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-01-01 00:00:00	4.118718	0	10000	2.4937511	95.817164	0.75639338	64.515688	9.5019096e-11
1979-01-02 00:00:00	2.5912135	0	10000	4.2658363	94.073182	1	26.529708	1.6998958e-10
1979-01-03 00:00:00	8.1848728	0	10000	-6.720413	74.387291	0.81265134	60.937874	2.9494213e-11
1979-01-04 00:00:00	5.7396633	0	10000	-11.005826	70.192927	0.6797778	75.62475	0
1979-01-05 00:00:00	5.591678	0	10000	-10.596657	67.411293	0.69663172	74.458416	6.8796296e-12
1979-01-06 00:00:00	3.7329309	0	10000	-9.0570803	86.899581	1	27.176125	2.0643519e-11
1979-01-07 00:00:00	4.1381241	0	10000	-5.3045817	92.276003	0.9882279	39.701417	1.5686112e-10
1979-01-08 00:00:00	4.575879	0	10000	-2.0329142	92.241768	1	29.747625	1.5442014e-10
1979-01-09 00:00:00	4.9319767	0	10000	-8.9429064	81.403242	0.45959503	96.007751	3.75e-13
1979-01-10 00:00:00	3.4949393	0	10000	-11.734165	79.122466	0.64863472	81.818417	6.5740741e-13
1979-01-11 00:00:00	5.0377306	0	10000	-14.843748	74.488323	0.65137324	82.553667	0
1979-01-12 00:00:00	2.7966017	0	10000	-16.14666	80.103012	0.77558234	70.033583	4.6493063e-11
1979-01-13 00:00:00	6.4517113	0	10000	-6.2199997	89.586017	0.97147751	44.181083	6.956366e-11
1979-01-14 00:00:00	6.6843955	0	10000	-0.73541234	92.617928	1	30.853125	5.8517362e-11
1979-01-15 00:00:00	8.6487035	0	10000	-11.707498	69.645199	0.77892567	71.348417	0
1979-01-16 00:00:00	3.7504776	0	10000	-12.369579	85.478538	1	32.316959	2.803125e-11
1979-01-17 00:00:00	4.5758397	0	10000	-12.325411	84.576069	0.63677648	88.259917	5.8993056e-11
1979-01-18 00:00:00	7.5661396	0	10000	-12.959163	82.85067	0.87017451	61.531751	1.3143519e-11
1979-01-19 00:00:00	5.9067362	0	10000	-20.157083	81.929525	0.40926728	109.81096	2.5520833e-12
1979-01-20 00:00:00	2.9296911	0	10000	-13.929579	81.968842	0.92380554	55.138417	4.1133101e-11
1979-01-21 00:00:00	7.5356084	0	10000	-2.2795802	94.942246	1	31.003958	3.952558e-10
1979-01-22 00:00:00	7.3259859	0	10000	-2.9112457	84.838353	0.79438344	73.341709	2.306713e-12
1979-01-23 00:00:00	4.0263403	0	10000	-7.8012515	84.825899	0.43437109	111.26188	0
1979-01-24 00:00:00	7.3449003	0	10000	-6.0558304	85.253187	0.57483981	100.39104	5.1832176e-11
