"",32.500
149.8333,0.0000E+000
150.8333,3.8316E+002
151.8333,3.8358E+002
152.8333,3.7373E+002
153.8333,3.5908E+002
154.8333,3.4768E+002
155.8333,3.4975E+002
156.8333,3.5831E+002
157.8333,3.6319E+002
158.8333,3.6393E+002
159.8333,3.5765E+002
160.8333,3.5415E+002
161.8333,3.5202E+002
162.8333,3.6016E+002
163.8333,3.6382E+002
164.8333,3.4145E+002
165.8333,3.2731E+002
166.8333,3.4616E+002
167.8333,3.7091E+002
168.8333,3.8195E+002
169.8333,3.5901E+002
170.8333,3.2866E+002
171.8333,3.6421E+002
172.8333,3.8876E+002
173.8333,3.7642E+002
174.8333,3.6202E+002
175.8333,3.8718E+002
176.8333,3.7642E+002
177.8333,3.6948E+002
178.8333,3.8472E+002
179.8333,3.5437E+002
180.8333,3.3412E+002
181.8333,3.6416E+002
182.8333,3.4586E+002
183.8333,3.7010E+002
184.8333,3.5563E+002
185.8333,3.4830E+002
186.8333,3.5581E+002
187.8333,3.4391E+002
188.8333,3.5468E+002
189.8333,3.7313E+002
190.8333,3.8479E+002
191.8333,3.8723E+002
192.8333,3.8140E+002
193.8333,3.6821E+002
194.8333,3.8405E+002
195.8333,3.8849E+002
196.8333,3.8761E+002
197.8333,3.8304E+002
198.8333,3.4333E+002
199.8333,3.5022E+002
200.8333,3.8401E+002
201.8333,3.9264E+002
202.8333,3.8231E+002
203.8333,3.4948E+002
204.8333,3.5442E+002
205.8333,3.8534E+002
206.8333,3.9553E+002
207.8333,3.9515E+002
208.8333,3.8360E+002
209.8333,3.4758E+002
210.8333,3.4073E+002
211.8333,3.9989E+002
212.8333,4.0612E+002
213.8333,4.0131E+002
214.8333,3.8974E+002
215.8333,3.5066E+002
216.8333,3.2347E+002
217.8333,3.6912E+002
218.8333,3.4403E+002
219.8333,3.2240E+002
220.8333,3.3298E+002
221.8333,3.0166E+002
222.8333,2.9665E+002
223.8333,3.0346E+002
224.8333,3.2188E+002
225.8333,3.5853E+002
226.8333,3.4695E+002
227.8333,3.2544E+002
228.8333,3.3802E+002
229.8333,3.6672E+002
230.8333,3.7846E+002
231.8333,3.5034E+002
232.8333,3.3877E+002
233.8333,3.3272E+002
234.8333,3.2558E+002
235.8333,3.2354E+002
236.8333,3.4107E+002
237.8333,3.6141E+002
238.8333,3.4964E+002
239.8333,3.6676E+002
240.8333,3.4571E+002
241.8333,3.0081E+002
242.8333,3.1771E+002
243.8333,3.2853E+002
244.8333,3.5798E+002
245.8333,3.5732E+002
246.8333,3.5847E+002
247.8333,3.6412E+002
248.8333,3.2794E+002
249.8333,3.2455E+002
250.8333,3.3721E+002
251.8333,3.2201E+002
252.8333,3.0050E+002
253.8333,2.6873E+002
254.8333,3.2217E+002
255.8333,3.6768E+002
256.8333,3.7001E+002
257.8333,3.3611E+002
258.8333,3.2503E+002
259.8333,3.2655E+002
260.8333,3.5001E+002
261.8333,3.2598E+002
262.8333,2.8634E+002
263.8333,2.8841E+002
264.8333,3.4975E+002
265.8333,3.6473E+002
266.8333,3.3549E+002
267.8333,3.0814E+002
268.8333,3.0047E+002
269.8333,3.0620E+002
270.8333,3.1788E+002
271.8333,2.9083E+002
272.8333,3.3791E+002
273.8333,3.2114E+002
274.8333,3.2921E+002
275.8333,3.4274E+002
276.8333,3.1346E+002
277.8333,2.8093E+002
278.8333,2.4593E+002
279.8333,2.5325E+002
280.8333,2.8503E+002
281.8333,3.2824E+002
282.8333,3.3977E+002
283.8333,3.4351E+002
284.8333,2.5806E+002
285.8333,2.3895E+002
286.8333,2.6994E+002
287.8333,2.8285E+002
288.8333,3.0202E+002
289.8333,3.2537E+002
290.8333,3.1099E+002
291.8333,3.4623E+002
292.8333,2.5300E+002
293.8333,2.7058E+002
294.8333,3.0529E+002
295.8333,3.0596E+002
296.8333,2.9942E+002
297.8333,2.9502E+002
298.8333,2.4193E+002
299.8333,3.1766E+002
300.8333,3.0193E+002
301.8333,2.7064E+002
302.8333,2.9559E+002
303.8333,3.0169E+002
304.8333,2.9730E+002
305.8333,2.7789E+002
306.8333,2.7574E+002
307.8333,2.7987E+002
308.8333,3.0530E+002
309.8333,3.0025E+002
310.8333,3.4669E+002
311.8333,3.4361E+002
312.8333,2.8160E+002
313.8333,2.8585E+002
314.8333,3.3789E+002
315.8333,3.3787E+002
316.8333,3.4694E+002
317.8333,3.1227E+002
318.8333,3.4510E+002
319.8333,3.3315E+002
320.8333,2.7612E+002
321.8333,2.9686E+002
322.8333,2.6924E+002
323.8333,2.1340E+002
324.8333,2.0759E+002
325.8333,2.5813E+002
326.8333,2.2729E+002
327.8333,2.1864E+002
328.8333,2.4622E+002
329.8333,2.8007E+002
330.8333,3.1812E+002
331.8333,3.0492E+002
332.8333,3.1564E+002
333.8333,3.5610E+002
334.8333,2.9934E+002
335.8333,2.5055E+002
336.8333,2.5642E+002
337.8333,2.5083E+002
338.8333,2.5924E+002
339.8333,2.8270E+002
340.8333,2.3937E+002
341.8333,2.4282E+002
342.8333,2.4106E+002
343.8333,2.5974E+002
344.8333,2.2288E+002
345.8333,2.7774E+002
346.8333,2.5151E+002
347.8333,2.7211E+002
348.8333,2.6775E+002
349.8333,2.7239E+002
350.8333,2.7952E+002
351.8333,2.6671E+002
352.8333,2.3213E+002
353.8333,2.2689E+002
354.8333,2.5285E+002
355.8333,2.9428E+002
356.8333,2.5311E+002
357.8333,2.5040E+002
358.8333,3.0156E+002
359.8333,2.8093E+002
360.8333,2.6635E+002
361.8333,2.1687E+002
362.8333,2.5858E+002
363.8333,2.3394E+002
364.8333,2.9673E+002
365.8333,2.4897E+002
366.8333,2.2323E+002
367.8333,2.3878E+002
368.8333,3.1921E+002
369.8333,3.3667E+002
370.8333,2.7701E+002
371.8333,2.9866E+002
372.8333,2.6996E+002
373.8333,2.4361E+002
374.8333,2.2560E+002
375.8333,2.7623E+002
376.8333,2.7941E+002
377.8333,2.9056E+002
378.8333,2.9779E+002
379.8333,2.4485E+002
380.8333,1.7444E+002
381.8333,2.2954E+002
382.8333,2.7028E+002
383.8333,2.2493E+002
384.8333,1.7584E+002
385.8333,2.4587E+002
386.8333,2.5398E+002
387.8333,2.4524E+002
388.8333,2.1214E+002
389.8333,1.7956E+002
390.8333,2.2066E+002
391.8333,2.3159E+002
392.8333,2.2143E+002
393.8333,1.9947E+002
394.8333,2.1823E+002
395.8333,2.3431E+002
396.8333,2.7201E+002
397.8333,2.3839E+002
398.8333,2.0431E+002
399.8333,2.0333E+002
400.8333,1.8123E+002
401.8333,2.0232E+002
402.8333,2.2253E+002
403.8333,2.1072E+002
404.8333,2.2159E+002
405.8333,2.2822E+002
406.8333,2.2238E+002
407.8333,1.9660E+002
408.8333,2.5695E+002
409.8333,2.2632E+002
410.8333,2.0398E+002
411.8333,1.9908E+002
412.8333,2.3559E+002
413.8333,1.8383E+002
414.8333,2.6269E+002
415.8333,2.4480E+002
416.8333,2.4252E+002
417.8333,2.3195E+002
418.8333,2.0803E+002
419.8333,2.0026E+002
420.8333,2.4456E+002
421.8333,2.7543E+002
422.8333,2.5279E+002
423.8333,2.2151E+002
424.8333,2.7740E+002
425.8333,2.5860E+002
426.8333,2.4882E+002
427.8333,2.5590E+002
428.8333,1.7078E+002
429.8333,1.7091E+002
430.8333,1.8961E+002
431.8333,1.9411E+002
432.8333,2.6163E+002
433.8333,2.6088E+002
434.8333,2.4067E+002
435.8333,2.8594E+002
436.8333,3.1374E+002
437.8333,3.2094E+002
438.8333,2.7533E+002
439.8333,2.8024E+002
440.8333,2.5801E+002
441.8333,2.4655E+002
442.8333,2.3128E+002
443.8333,2.0070E+002
444.8333,2.8003E+002
445.8333,2.6765E+002
446.8333,2.5998E+002
447.8333,2.7344E+002
448.8333,2.9273E+002
449.8333,3.2597E+002
450.8333,2.3793E+002
451.8333,1.9470E+002
452.8333,2.2826E+002
453.8333,2.1244E+002
454.8333,2.4448E+002
455.8333,3.0452E+002
456.8333,3.1347E+002
457.8333,3.0437E+002
458.8333,2.7555E+002
459.8333,2.5139E+002
460.8333,2.5527E+002
461.8333,2.5657E+002
462.8333,2.6015E+002
463.8333,2.7916E+002
464.8333,2.6573E+002
465.8333,2.9933E+002
466.8333,2.9514E+002
467.8333,2.9489E+002
468.8333,3.0919E+002
469.8333,3.1748E+002
470.8333,3.1374E+002
471.8333,3.1437E+002
472.8333,2.8227E+002
473.8333,2.3725E+002
474.8333,2.4825E+002
475.8333,2.6971E+002
476.8333,2.9266E+002
477.8333,3.0090E+002
478.8333,2.9580E+002
479.8333,2.8364E+002
480.8333,3.3218E+002
481.8333,3.4015E+002
482.8333,3.3443E+002
483.8333,3.2040E+002
484.8333,2.8517E+002
485.8333,2.9866E+002
486.8333,2.4475E+002
487.8333,2.3628E+002
488.8333,2.7648E+002
489.8333,2.7895E+002
490.8333,2.5800E+002
491.8333,2.7254E+002
492.8333,3.1290E+002
493.8333,3.4419E+002
494.8333,3.6351E+002
495.8333,3.0816E+002
496.8333,2.5290E+002
497.8333,2.5837E+002
498.8333,3.2955E+002
499.8333,3.5095E+002
500.8333,3.2547E+002
501.8333,3.2205E+002
502.8333,3.4273E+002
503.8333,3.3735E+002
504.8333,3.0964E+002
505.8333,2.6991E+002
506.8333,3.0033E+002
507.8333,3.2558E+002
508.8333,3.3955E+002
509.8333,3.2158E+002
510.8333,3.3799E+002
511.8333,3.3838E+002
512.8333,3.1976E+002
513.8333,3.4149E+002
514.8333,3.6410E+002
515.8333,3.6442E+002
516.8333,3.7353E+002
517.8333,3.7713E+002
518.8333,3.7349E+002
519.8333,3.6164E+002
520.8333,3.1070E+002
521.8333,3.0177E+002
522.8333,3.3988E+002
523.8333,3.6726E+002
524.8333,3.4901E+002
525.8333,3.6297E+002
526.8333,3.6571E+002
527.8333,3.4542E+002
528.8333,3.4842E+002
529.8333,3.4176E+002
530.8333,3.6338E+002
531.8333,3.5914E+002
532.8333,3.2118E+002
533.8333,3.5194E+002
534.8333,3.6149E+002
535.8333,3.2191E+002
536.8333,3.2118E+002
537.8333,3.1150E+002
538.8333,3.1350E+002
539.8333,3.5817E+002
540.8333,3.6115E+002
541.8333,3.8448E+002
542.8333,3.8019E+002
543.8333,3.1980E+002
544.8333,3.1257E+002
545.8333,3.1303E+002
546.8333,3.0388E+002
547.8333,3.2944E+002
548.8333,3.4507E+002
549.8333,3.7406E+002
550.8333,3.6488E+002
551.8333,3.4566E+002
