"",32.500
149.8333,0.0000E+000
150.8333,8.9458E+000
151.8333,-5.3277E+000
152.8333,-2.4064E+001
153.8333,-4.1034E+001
154.8333,-2.4888E+001
155.8333,-8.4668E+000
156.8333,-2.6681E+001
157.8333,-2.1865E+001
158.8333,-1.2023E+001
159.8333,-3.8902E+001
160.8333,-3.1249E+001
161.8333,6.3291E+000
162.8333,7.9571E+000
163.8333,2.9668E+000
164.8333,-5.1631E+000
165.8333,-1.3306E-001
166.8333,-1.9484E+000
167.8333,1.3241E+001
168.8333,1.6843E+001
169.8333,-3.2540E+000
170.8333,-1.8959E+001
171.8333,-8.6164E+000
172.8333,-2.5626E+000
173.8333,-1.1361E+001
174.8333,-1.6606E+001
175.8333,-2.7199E+001
176.8333,-7.0656E+000
177.8333,-7.1664E+000
178.8333,-2.0490E+000
179.8333,-1.6137E+001
180.8333,-2.4350E+001
181.8333,-9.1214E+000
182.8333,-8.6635E+000
183.8333,-7.8308E+000
184.8333,-1.6510E+001
185.8333,-2.9152E+001
186.8333,-2.7894E+001
187.8333,-1.5001E+001
188.8333,-1.7796E+001
189.8333,-2.0989E+001
190.8333,-2.0517E+001
191.8333,-1.9278E+001
192.8333,-2.7855E+001
193.8333,-1.4983E+001
194.8333,-1.1181E+001
195.8333,-1.3447E+001
196.8333,-1.1226E+001
197.8333,-1.7239E+001
198.8333,-3.1080E+001
199.8333,-4.3832E+001
200.8333,-2.4707E+001
201.8333,-3.3190E+001
202.8333,-3.3975E+001
203.8333,-3.7585E+001
204.8333,-2.8736E+001
205.8333,-1.6974E+001
206.8333,-1.4898E+001
207.8333,-2.0376E+001
208.8333,-2.4626E+001
209.8333,-3.0737E+001
210.8333,-2.9905E+001
211.8333,-1.0482E+001
212.8333,-1.4095E+000
213.8333,-1.1193E+001
214.8333,-2.5778E+001
215.8333,-3.7447E+001
216.8333,-3.5939E+001
217.8333,-3.1588E+001
218.8333,-4.3505E+001
219.8333,-3.8674E+001
220.8333,-3.7020E+001
221.8333,-5.8805E+001
222.8333,-6.8014E+001
223.8333,-5.6293E+001
224.8333,-3.3689E+001
225.8333,-1.5822E+001
226.8333,-2.2310E+001
227.8333,-1.6713E+001
228.8333,-1.5939E+001
229.8333,-1.2393E+001
230.8333,-2.9110E+001
231.8333,-4.1632E+001
232.8333,-2.6954E+001
233.8333,-2.8998E+001
234.8333,-3.3615E+001
235.8333,-3.0793E+001
236.8333,-3.1590E+001
237.8333,-6.0318E+001
238.8333,-2.9417E+001
239.8333,-2.5026E+001
240.8333,-2.1109E+001
241.8333,-4.8098E+001
242.8333,-3.6157E+001
243.8333,-5.5668E+001
244.8333,-6.0277E+001
245.8333,-2.6378E+001
246.8333,-1.3510E+001
247.8333,-1.3963E+001
248.8333,-1.4386E+001
249.8333,-1.2994E+001
250.8333,-1.1790E+001
251.8333,-4.0192E+001
252.8333,-4.3912E+001
253.8333,-3.6728E+001
254.8333,-3.6801E+001
255.8333,-2.2942E+001
256.8333,-1.0234E+001
257.8333,-7.2196E+000
258.8333,-6.5645E+000
259.8333,-6.4078E+000
260.8333,-9.8957E+000
261.8333,-3.3934E+001
262.8333,-6.6949E+001
263.8333,-4.2375E+001
264.8333,-2.0121E+001
265.8333,-1.3776E+001
266.8333,-3.3081E+001
267.8333,-4.1078E+001
268.8333,-3.9200E+001
269.8333,-3.9864E+001
270.8333,-6.0744E+001
271.8333,-5.6531E+001
272.8333,-5.8059E+001
273.8333,-4.8766E+001
274.8333,-2.1699E+001
275.8333,-4.3696E+000
276.8333,-4.7091E+001
277.8333,-5.1357E+001
278.8333,-2.9969E+001
279.8333,-2.6198E+001
280.8333,-8.5000E+000
281.8333,-1.1720E+001
282.8333,-4.5162E+001
283.8333,-1.7352E+001
284.8333,-6.1467E+001
285.8333,-7.2373E+001
286.8333,-6.8563E+001
287.8333,-4.2383E+001
288.8333,-6.6706E+001
289.8333,-3.0754E+001
290.8333,-1.6122E+001
291.8333,-1.8040E+001
292.8333,-9.9818E+001
293.8333,-6.1131E+001
