"",32.500
149.8333,0.0000E+000
150.8333,-5.5269E+000
151.8333,-2.2585E+001
152.8333,-5.6161E+001
153.8333,-8.1693E+001
154.8333,-6.0357E+001
155.8333,-3.3463E+001
156.8333,-6.0263E+001
157.8333,-4.5370E+001
158.8333,-2.6185E+001
159.8333,-7.6768E+001
160.8333,-6.8092E+001
161.8333,-1.3868E+001
162.8333,-1.2576E+001
163.8333,-1.3130E+001
164.8333,-5.9845E+001
165.8333,-4.9428E+001
166.8333,-3.4374E+001
167.8333,4.3593E-001
168.8333,-5.3934E+000
169.8333,-5.1412E+001
170.8333,-8.1827E+001
171.8333,-5.9739E+001
172.8333,-3.5867E+001
173.8333,-5.0630E+001
174.8333,-6.3655E+001
175.8333,-8.6279E+001
176.8333,-6.6852E+001
177.8333,-3.8859E+001
178.8333,-2.6793E+001
179.8333,-8.0038E+001
180.8333,-1.0403E+002
181.8333,-8.3886E+001
182.8333,-6.8094E+001
183.8333,-6.4323E+001
184.8333,-9.3781E+001
185.8333,-1.1593E+002
186.8333,-1.0912E+002
187.8333,-7.7732E+001
188.8333,-9.1312E+001
189.8333,-1.0247E+002
190.8333,-9.4531E+001
191.8333,-8.1853E+001
192.8333,-1.0330E+002
193.8333,-8.2157E+001
194.8333,-7.3855E+001
195.8333,-8.8414E+001
196.8333,-8.8783E+001
197.8333,-1.1569E+002
198.8333,-1.3312E+002
199.8333,-1.6640E+002
200.8333,-9.9920E+001
201.8333,-1.1229E+002
202.8333,-1.0188E+002
203.8333,-1.3053E+002
204.8333,-1.2764E+002
205.8333,-9.1713E+001
206.8333,-9.0937E+001
207.8333,-1.0429E+002
208.8333,-1.2204E+002
209.8333,-1.3538E+002
210.8333,-1.2158E+002
211.8333,-6.7434E+001
212.8333,-6.1446E+001
213.8333,-9.0587E+001
214.8333,-1.0194E+002
215.8333,-1.5257E+002
216.8333,-1.3408E+002
217.8333,-1.2200E+002
218.8333,-1.7077E+002
219.8333,-1.4732E+002
220.8333,-1.4191E+002
221.8333,-1.8008E+002
222.8333,-1.9551E+002
223.8333,-1.6672E+002
224.8333,-1.2524E+002
225.8333,-8.9506E+001
226.8333,-9.7366E+001
227.8333,-7.4508E+001
228.8333,-7.7154E+001
229.8333,-6.4776E+001
230.8333,-8.7609E+001
231.8333,-1.2448E+002
232.8333,-1.0293E+002
233.8333,-1.1100E+002
234.8333,-1.1084E+002
235.8333,-9.2063E+001
236.8333,-8.9012E+001
237.8333,-1.4729E+002
238.8333,-7.5854E+001
239.8333,-6.4365E+001
240.8333,-7.8218E+001
241.8333,-1.3394E+002
242.8333,-1.0703E+002
243.8333,-1.5112E+002
244.8333,-1.3742E+002
245.8333,-7.2444E+001
246.8333,-4.8577E+001
247.8333,-5.2638E+001
248.8333,-5.5215E+001
249.8333,-6.0264E+001
250.8333,-6.4620E+001
251.8333,-1.1099E+002
252.8333,-1.1205E+002
253.8333,-9.7424E+001
254.8333,-9.6866E+001
255.8333,-5.9453E+001
256.8333,-3.0844E+001
257.8333,-3.9372E+001
258.8333,-4.0939E+001
259.8333,-4.6800E+001
260.8333,-5.2330E+001
261.8333,-1.0757E+002
262.8333,-1.6141E+002
263.8333,-1.0887E+002
264.8333,-5.2361E+001
265.8333,-7.2737E+001
266.8333,-9.2698E+001
267.8333,-1.1743E+002
268.8333,-1.1185E+002
269.8333,-1.1692E+002
270.8333,-1.2998E+002
271.8333,-1.1696E+002
272.8333,-1.1381E+002
273.8333,-1.0442E+002
274.8333,-6.7133E+001
275.8333,-3.6358E+001
276.8333,-1.1697E+002
277.8333,-1.1027E+002
278.8333,-6.5043E+001
279.8333,-6.7228E+001
280.8333,-4.4476E+001
281.8333,-4.1101E+001
282.8333,-1.1517E+002
283.8333,-7.1167E+001
284.8333,-1.2538E+002
285.8333,-1.3807E+002
