"",32.500
149.8333,0.0000E+000
150.8333,-4.0043E+002
151.8333,-4.0377E+002
152.8333,-4.0090E+002
153.8333,-3.9450E+002
154.8333,-3.9020E+002
155.8333,-3.9219E+002
156.8333,-3.9391E+002
157.8333,-3.8986E+002
158.8333,-3.8872E+002
159.8333,-3.8677E+002
160.8333,-3.7816E+002
161.8333,-3.7706E+002
162.8333,-3.8366E+002
163.8333,-3.9004E+002
164.8333,-3.9313E+002
165.8333,-3.9169E+002
166.8333,-3.9401E+002
167.8333,-3.9985E+002
168.8333,-4.1056E+002
169.8333,-4.1458E+002
170.8333,-4.1522E+002
171.8333,-4.1650E+002
172.8333,-4.1980E+002
173.8333,-4.2315E+002
174.8333,-4.2549E+002
175.8333,-4.2519E+002
176.8333,-4.1906E+002
177.8333,-4.1403E+002
178.8333,-4.1557E+002
179.8333,-4.1890E+002
180.8333,-4.1903E+002
181.8333,-4.1921E+002
182.8333,-4.2058E+002
183.8333,-4.2508E+002
184.8333,-4.2807E+002
185.8333,-4.2858E+002
186.8333,-4.2858E+002
187.8333,-4.3094E+002
188.8333,-4.3494E+002
189.8333,-4.3710E+002
190.8333,-4.3750E+002
191.8333,-4.3778E+002
192.8333,-4.3723E+002
193.8333,-4.3840E+002
194.8333,-4.4264E+002
195.8333,-4.4646E+002
196.8333,-4.5050E+002
197.8333,-4.5339E+002
198.8333,-4.5294E+002
199.8333,-4.5064E+002
200.8333,-4.4885E+002
201.8333,-4.4765E+002
202.8333,-4.3164E+002
203.8333,-4.3766E+002
204.8333,-4.3819E+002
205.8333,-4.4113E+002
206.8333,-4.4297E+002
207.8333,-4.4356E+002
208.8333,-4.4220E+002
209.8333,-4.4073E+002
210.8333,-4.3991E+002
211.8333,-4.4095E+002
212.8333,-4.4492E+002
213.8333,-4.4827E+002
214.8333,-4.4827E+002
215.8333,-4.4458E+002
216.8333,-4.3514E+002
217.8333,-4.3769E+002
218.8333,-4.3714E+002
219.8333,-4.3341E+002
220.8333,-4.3179E+002
221.8333,-4.2850E+002
222.8333,-4.2411E+002
223.8333,-4.2021E+002
224.8333,-4.1837E+002
225.8333,-4.1920E+002
226.8333,-4.2073E+002
227.8333,-4.2171E+002
228.8333,-4.2398E+002
229.8333,-4.2596E+002
230.8333,-4.2682E+002
231.8333,-4.2503E+002
232.8333,-4.2382E+002
233.8333,-4.2391E+002
234.8333,-4.2310E+002
235.8333,-4.1849E+002
236.8333,-4.1629E+002
237.8333,-4.1912E+002
238.8333,-4.1361E+002
239.8333,-4.1748E+002
240.8333,-4.1660E+002
241.8333,-4.1630E+002
242.8333,-4.1447E+002
243.8333,-4.1241E+002
244.8333,-4.0831E+002
245.8333,-4.0605E+002
246.8333,-4.0669E+002
247.8333,-4.0758E+002
248.8333,-4.0801E+002
249.8333,-4.0934E+002
250.8333,-4.1022E+002
251.8333,-4.0946E+002
252.8333,-4.0730E+002
253.8333,-4.0485E+002
254.8333,-4.0245E+002
255.8333,-4.0103E+002
256.8333,-4.0335E+002
257.8333,-4.0587E+002
258.8333,-4.0724E+002
259.8333,-4.0842E+002
260.8333,-4.0902E+002
261.8333,-4.0806E+002
262.8333,-4.0551E+002
263.8333,-3.9934E+002
264.8333,-3.9049E+002
265.8333,-4.0316E+002
266.8333,-4.0324E+002
267.8333,-4.0247E+002
268.8333,-4.0162E+002
269.8333,-4.0081E+002
270.8333,-3.9959E+002
271.8333,-3.9785E+002
272.8333,-3.9647E+002
273.8333,-3.9507E+002
274.8333,-3.9446E+002
275.8333,-3.9497E+002
276.8333,-3.9473E+002
277.8333,-3.9311E+002
278.8333,-3.8111E+002
279.8333,-3.8122E+002
280.8333,-3.7748E+002
281.8333,-3.8458E+002
282.8333,-3.9063E+002
283.8333,-3.9029E+002
284.8333,-3.8944E+002
285.8333,-3.8744E+002
286.8333,-3.8553E+002
287.8333,-3.8415E+002
288.8333,-3.8297E+002
289.8333,-3.8177E+002
290.8333,-3.8156E+002
291.8333,-3.8128E+002
292.8333,-3.7937E+002
293.8333,-3.7269E+002
294.8333,-3.7560E+002
295.8333,-3.7450E+002
296.8333,-3.7376E+002
297.8333,-3.7150E+002
298.8333,-3.6963E+002
299.8333,-3.6808E+002
300.8333,-3.6603E+002
301.8333,-3.6349E+002
302.8333,-3.6224E+002
303.8333,-3.6222E+002
304.8333,-3.6202E+002
305.8333,-3.5844E+002
306.8333,-3.5589E+002
307.8333,-3.5846E+002
308.8333,-3.5754E+002
309.8333,-3.5695E+002
310.8333,-3.5674E+002
311.8333,-3.5735E+002
312.8333,-3.5755E+002
313.8333,-3.5679E+002
314.8333,-3.5715E+002
315.8333,-3.5751E+002
316.8333,-3.5772E+002
317.8333,-3.5782E+002
318.8333,-3.5838E+002
319.8333,-3.5927E+002
320.8333,-3.5913E+002
321.8333,-3.5719E+002
322.8333,-3.5574E+002
323.8333,-3.5547E+002
324.8333,-3.5402E+002
325.8333,-3.5274E+002
326.8333,-3.5144E+002
327.8333,-3.4996E+002
328.8333,-3.4892E+002
329.8333,-3.4847E+002
330.8333,-3.4824E+002
331.8333,-3.4779E+002
332.8333,-3.4783E+002
333.8333,-3.4864E+002
334.8333,-3.4857E+002
335.8333,-3.4670E+002
336.8333,-3.4511E+002
337.8333,-3.3629E+002
338.8333,-3.4222E+002
339.8333,-3.4090E+002
340.8333,-3.3929E+002
341.8333,-3.3670E+002
342.8333,-3.3538E+002
343.8333,-3.3444E+002
344.8333,-3.3348E+002
345.8333,-3.3269E+002
346.8333,-3.3220E+002
347.8333,-3.3198E+002
348.8333,-3.3179E+002
349.8333,-3.3132E+002
350.8333,-3.3090E+002
351.8333,-3.3029E+002
352.8333,-3.2929E+002
353.8333,-3.2835E+002
354.8333,-3.2751E+002
355.8333,-3.2699E+002
356.8333,-3.2654E+002
357.8333,-3.2595E+002
358.8333,-3.2570E+002
359.8333,-3.2530E+002
360.8333,-3.2454E+002
361.8333,-3.2347E+002
362.8333,-3.2238E+002
363.8333,-3.2149E+002
364.8333,-3.2097E+002
365.8333,-3.2056E+002
366.8333,-3.1984E+002
367.8333,-3.1937E+002
368.8333,-3.1958E+002
369.8333,-3.2058E+002
370.8333,-3.2182E+002
371.8333,-3.2126E+002
372.8333,-3.2100E+002
373.8333,-3.2009E+002
374.8333,-3.1876E+002
375.8333,-3.1803E+002
376.8333,-3.1789E+002
377.8333,-3.1771E+002
378.8333,-3.1742E+002
379.8333,-3.1670E+002
380.8333,-3.1480E+002
381.8333,-3.1305E+002
382.8333,-3.1259E+002
383.8333,-3.1166E+002
384.8333,-3.0937E+002
385.8333,-3.0766E+002
386.8333,-3.0696E+002
387.8333,-3.0647E+002
388.8333,-3.0631E+002
389.8333,-3.0607E+002
390.8333,-3.0609E+002
391.8333,-3.0587E+002
392.8333,-3.0598E+002
393.8333,-3.0617E+002
394.8333,-3.0597E+002
395.8333,-3.0619E+002
396.8333,-3.0611E+002
397.8333,-3.0608E+002
398.8333,-3.0619E+002
399.8333,-3.0618E+002
400.8333,-3.0618E+002
401.8333,-3.0620E+002
402.8333,-3.0613E+002
403.8333,-3.0609E+002
404.8333,-3.0619E+002
405.8333,-3.0619E+002
406.8333,-3.0618E+002
407.8333,-3.0620E+002
408.8333,-3.0613E+002
409.8333,-3.0613E+002
410.8333,-3.0617E+002
411.8333,-3.0618E+002
412.8333,-3.0618E+002
413.8333,-3.0592E+002
414.8333,-3.0614E+002
415.8333,-3.0632E+002
416.8333,-3.0653E+002
417.8333,-3.0634E+002
418.8333,-3.0601E+002
419.8333,-3.0626E+002
420.8333,-3.0616E+002
421.8333,-3.0629E+002
422.8333,-3.0651E+002
423.8333,-3.0681E+002
424.8333,-3.0696E+002
425.8333,-3.0708E+002
426.8333,-3.0731E+002
427.8333,-3.0709E+002
428.8333,-3.0626E+002
429.8333,-3.0621E+002
430.8333,-3.0618E+002
431.8333,-3.0606E+002
432.8333,-3.0632E+002
433.8333,-3.0717E+002
434.8333,-3.0874E+002
435.8333,-3.0990E+002
436.8333,-3.1027E+002
437.8333,-3.1313E+002
438.8333,-3.1175E+002
439.8333,-3.1149E+002
440.8333,-3.1075E+002
441.8333,-3.1027E+002
442.8333,-3.1047E+002
443.8333,-3.1051E+002
444.8333,-3.1191E+002
445.8333,-3.1312E+002
446.8333,-3.1464E+002
447.8333,-3.1537E+002
448.8333,-3.1633E+002
449.8333,-3.1719E+002
450.8333,-3.1830E+002
451.8333,-3.1875E+002
452.8333,-3.1869E+002
453.8333,-3.1912E+002
454.8333,-3.2088E+002
455.8333,-3.2105E+002
456.8333,-3.2170E+002
457.8333,-3.2214E+002
458.8333,-3.2201E+002
459.8333,-3.2208E+002
460.8333,-3.2239E+002
461.8333,-3.2242E+002
462.8333,-3.2232E+002
463.8333,-3.2258E+002
464.8333,-3.2326E+002
465.8333,-3.2432E+002
466.8333,-3.2402E+002
467.8333,-3.2525E+002
468.8333,-3.2525E+002
469.8333,-3.2539E+002
470.8333,-3.2555E+002
471.8333,-3.2589E+002
472.8333,-3.2702E+002
473.8333,-3.2865E+002
474.8333,-3.3015E+002
475.8333,-3.3196E+002
476.8333,-3.3404E+002
477.8333,-3.3595E+002
478.8333,-3.3736E+002
479.8333,-3.3883E+002
480.8333,-3.4024E+002
481.8333,-3.4081E+002
482.8333,-3.4245E+002
483.8333,-3.4326E+002
484.8333,-3.4396E+002
485.8333,-3.4509E+002
486.8333,-3.4585E+002
487.8333,-3.4657E+002
488.8333,-3.4747E+002
489.8333,-3.4847E+002
490.8333,-3.4994E+002
491.8333,-3.5219E+002
492.8333,-3.5552E+002
493.8333,-3.6335E+002
494.8333,-3.7129E+002
495.8333,-3.7465E+002
496.8333,-3.7125E+002
497.8333,-3.6740E+002
498.8333,-3.6852E+002
499.8333,-3.7176E+002
500.8333,-3.7482E+002
501.8333,-3.7494E+002
502.8333,-3.7260E+002
503.8333,-3.7107E+002
504.8333,-3.7033E+002
505.8333,-3.7081E+002
506.8333,-3.7404E+002
507.8333,-3.7935E+002
508.8333,-3.8789E+002
509.8333,-3.9191E+002
510.8333,-3.9057E+002
511.8333,-3.9108E+002
512.8333,-3.9121E+002
513.8333,-3.9055E+002
514.8333,-3.9206E+002
515.8333,-3.9576E+002
516.8333,-4.0196E+002
517.8333,-4.0593E+002
518.8333,-4.0220E+002
519.8333,-3.9865E+002
520.8333,-3.9913E+002
521.8333,-3.9699E+002
522.8333,-3.9938E+002
523.8333,-4.0461E+002
524.8333,-4.0908E+002
525.8333,-4.1227E+002
526.8333,-4.1478E+002
527.8333,-4.1597E+002
528.8333,-4.1484E+002
529.8333,-4.1665E+002
530.8333,-4.2073E+002
531.8333,-4.2295E+002
532.8333,-4.2218E+002
533.8333,-4.2219E+002
534.8333,-4.2194E+002
535.8333,-4.1921E+002
536.8333,-4.1341E+002
537.8333,-4.0388E+002
538.8333,-4.0086E+002
539.8333,-4.0377E+002
540.8333,-4.1131E+002
541.8333,-4.1932E+002
542.8333,-4.2289E+002
543.8333,-4.2029E+002
