"",32.500
149.8333,0.0000E+000
150.8333,1.5311E+002
151.8333,7.6771E+001
152.8333,5.1269E+001
153.8333,5.7540E+001
154.8333,1.0272E+002
155.8333,1.6389E+002
156.8333,7.2510E+001
157.8333,5.4662E+001
158.8333,4.9701E+001
159.8333,5.8384E+001
160.8333,7.0071E+001
161.8333,1.6920E+002
162.8333,1.6979E+002
163.8333,1.3164E+002
164.8333,1.6711E+002
165.8333,1.8780E+002
166.8333,1.3157E+002
167.8333,1.8879E+002
168.8333,1.8794E+002
169.8333,1.7551E+002
170.8333,1.9135E+002
171.8333,1.6088E+002
172.8333,1.3384E+002
173.8333,1.2879E+002
174.8333,1.7655E+002
175.8333,9.9329E+001
176.8333,1.7049E+002
177.8333,1.2900E+002
178.8333,1.3211E+002
179.8333,1.7231E+002
180.8333,1.9371E+002
181.8333,1.8392E+002
182.8333,2.0856E+002
183.8333,1.8205E+002
184.8333,1.9448E+002
185.8333,1.8973E+002
186.8333,1.9141E+002
187.8333,2.0428E+002
188.8333,2.0773E+002
189.8333,1.7164E+002
190.8333,1.5773E+002
191.8333,1.3195E+002
192.8333,1.4785E+002
193.8333,1.9782E+002
194.8333,1.8037E+002
195.8333,1.9286E+002
196.8333,2.0100E+002
197.8333,1.9070E+002
198.8333,2.0481E+002
199.8333,1.9559E+002
200.8333,1.5656E+002
201.8333,1.0598E+002
202.8333,8.8707E+001
203.8333,1.7266E+002
204.8333,1.9544E+002
205.8333,1.6169E+002
206.8333,1.6153E+002
207.8333,1.4205E+002
208.8333,1.6547E+002
209.8333,1.9237E+002
210.8333,1.9437E+002
211.8333,1.4432E+002
212.8333,1.7057E+002
213.8333,1.5943E+002
214.8333,1.2775E+002
215.8333,1.7369E+002
216.8333,1.8163E+002
217.8333,1.2739E+002
218.8333,1.7537E+002
219.8333,1.9166E+002
220.8333,1.5854E+002
221.8333,1.8856E+002
222.8333,1.9266E+002
223.8333,1.8261E+002
224.8333,1.8291E+002
225.8333,1.8204E+002
226.8333,1.6231E+002
227.8333,1.8267E+002
228.8333,1.7427E+002
229.8333,1.5032E+002
230.8333,1.1563E+002
231.8333,1.4965E+002
232.8333,1.7205E+002
233.8333,1.6871E+002
234.8333,1.5925E+002
235.8333,1.4450E+002
236.8333,1.3438E+002
237.8333,6.5199E+001
238.8333,1.3827E+002
239.8333,6.9999E+001
240.8333,1.4760E+002
241.8333,1.7119E+002
242.8333,1.4464E+002
243.8333,1.2596E+002
244.8333,7.5469E+001
245.8333,1.0685E+002
246.8333,1.1927E+002
247.8333,9.3746E+001
248.8333,1.4318E+002
249.8333,1.5237E+002
250.8333,1.3721E+002
251.8333,1.3637E+002
252.8333,1.4237E+002
253.8333,1.5108E+002
254.8333,8.9355E+001
255.8333,4.9992E+001
256.8333,6.9368E+001
257.8333,1.2938E+002
258.8333,1.4010E+002
259.8333,1.3677E+002
260.8333,1.2013E+002
261.8333,1.1981E+002
262.8333,1.2724E+002
263.8333,1.2372E+002
264.8333,5.7060E+001
265.8333,8.3772E+001
266.8333,9.5699E+001
267.8333,1.2116E+002
268.8333,1.1924E+002
269.8333,1.2276E+002
270.8333,6.4194E+001
271.8333,1.0301E+002
272.8333,5.1106E+001
273.8333,7.5777E+001
274.8333,1.0462E+002
275.8333,1.1092E+002
276.8333,1.0614E+002
277.8333,1.1131E+002
278.8333,1.1830E+002
279.8333,1.1622E+002
280.8333,1.1207E+002
281.8333,7.1947E+001
282.8333,7.9365E+001
283.8333,7.7931E+001
284.8333,1.0396E+002
285.8333,1.0804E+002
286.8333,8.3683E+001
287.8333,9.2394E+001
288.8333,6.9713E+001
289.8333,6.7016E+001
290.8333,9.0184E+001
291.8333,3.4285E+001
292.8333,8.3361E+001
293.8333,6.6881E+001
294.8333,6.3875E+001
295.8333,5.3079E+001
296.8333,4.4494E+001
297.8333,5.7017E+001
298.8333,8.3971E+001
299.8333,3.4537E+001
300.8333,3.7726E+001
301.8333,6.9407E+001
302.8333,6.8844E+001
303.8333,8.0680E+001
304.8333,5.4757E+001
305.8333,5.5180E+001
306.8333,4.7917E+001
307.8333,4.4480E+001
308.8333,3.7921E+001
309.8333,5.1967E+001
310.8333,2.7539E+001
311.8333,5.3168E+001
312.8333,7.2039E+001
313.8333,7.0084E+001
314.8333,3.3063E+001
315.8333,4.8597E+001
316.8333,2.8436E+001
317.8333,5.5852E+001
318.8333,5.2501E+001
319.8333,6.1062E+001
320.8333,6.4609E+001
321.8333,3.8871E+001
322.8333,5.5188E+001
323.8333,6.4864E+001
324.8333,6.4900E+001
325.8333,4.9580E+001
326.8333,6.0514E+001
327.8333,6.1393E+001
328.8333,5.7707E+001
329.8333,5.4612E+001
330.8333,2.3160E+001
331.8333,3.1433E+001
332.8333,4.6828E+001
333.8333,2.6795E+001
334.8333,4.1182E+001
335.8333,4.9669E+001
336.8333,3.7233E+001
337.8333,3.4156E+001
338.8333,4.2124E+001
339.8333,3.1316E+001
340.8333,3.5102E+001
341.8333,4.1233E+001
342.8333,5.2398E+001
343.8333,2.3844E+001
344.8333,4.9189E+001
345.8333,2.7452E+001
346.8333,4.8455E+001
347.8333,4.8634E+001
348.8333,4.0782E+001
349.8333,3.2355E+001
350.8333,3.0017E+001
351.8333,3.4958E+001
352.8333,5.0331E+001
353.8333,5.2619E+001
354.8333,4.1825E+001
355.8333,2.0428E+001
356.8333,3.2361E+001
357.8333,4.8282E+001
358.8333,2.5909E+001
359.8333,2.5933E+001
360.8333,3.5877E+001
361.8333,5.3797E+001
362.8333,2.8249E+001
363.8333,4.4165E+001
364.8333,2.1423E+001
365.8333,4.3807E+001
366.8333,5.0028E+001
367.8333,4.9547E+001
368.8333,2.6159E+001
369.8333,3.1564E+001
370.8333,4.9165E+001
371.8333,2.4052E+001
372.8333,3.7699E+001
373.8333,3.8923E+001
374.8333,4.8557E+001
375.8333,3.4592E+001
376.8333,3.2972E+001
377.8333,1.9844E+001
378.8333,1.7517E+001
379.8333,4.2427E+001
380.8333,5.9564E+001
381.8333,5.2710E+001
382.8333,3.0791E+001
383.8333,3.5548E+001
384.8333,6.0404E+001
385.8333,2.9957E+001
386.8333,3.2470E+001
387.8333,3.4454E+001
388.8333,4.2680E+001
389.8333,4.5448E+001
390.8333,2.7030E+001
391.8333,5.2720E+001
392.8333,5.2334E+001
393.8333,6.5407E+001
394.8333,5.9376E+001
395.8333,3.8444E+001
396.8333,2.5013E+001
397.8333,5.5132E+001
