"",32.500
149.8333,3.2500E+001
150.8333,3.2500E+001
151.8333,3.2500E+001
152.8333,3.2500E+001
153.8333,3.2500E+001
154.8333,3.2500E+001
155.8333,3.2500E+001
156.8333,3.2500E+001
157.8333,3.2500E+001
158.8333,3.2500E+001
159.8333,3.2500E+001
160.8333,3.2500E+001
161.8333,3.2500E+001
162.8333,3.2500E+001
163.8333,3.2500E+001
164.8333,3.2500E+001
165.8333,3.2500E+001
166.8333,3.2500E+001
167.8333,3.2500E+001
168.8333,3.2500E+001
169.8333,3.2500E+001
170.8333,3.2500E+001
171.8333,3.2500E+001
172.8333,3.2500E+001
173.8333,3.2500E+001
174.8333,3.2500E+001
175.8333,3.2500E+001
176.8333,3.2500E+001
177.8333,3.2500E+001
178.8333,3.2500E+001
179.8333,3.2500E+001
180.8333,3.2500E+001
181.8333,3.2500E+001
182.8333,3.2500E+001
183.8333,3.2500E+001
184.8333,3.2500E+001
185.8333,3.2500E+001
186.8333,3.2500E+001
187.8333,3.2500E+001
188.8333,3.2500E+001
189.8333,3.2500E+001
190.8333,3.2500E+001
191.8333,3.2500E+001
192.8333,3.2500E+001
193.8333,3.2500E+001
194.8333,3.2500E+001
195.8333,3.2500E+001
196.8333,3.2500E+001
197.8333,3.2500E+001
198.8333,3.2500E+001
199.8333,3.2500E+001
200.8333,3.2500E+001
201.8333,3.2500E+001
202.8333,3.2500E+001
203.8333,3.2500E+001
204.8333,3.2500E+001
205.8333,3.2500E+001
206.8333,3.2500E+001
207.8333,3.2500E+001
208.8333,3.2500E+001
209.8333,3.2500E+001
210.8333,3.2500E+001
211.8333,3.2500E+001
212.8333,3.2500E+001
213.8333,3.2500E+001
214.8333,3.2500E+001
215.8333,3.2500E+001
216.8333,3.2500E+001
217.8333,3.2500E+001
218.8333,3.2500E+001
219.8333,3.2500E+001
220.8333,3.2500E+001
221.8333,3.2500E+001
222.8333,3.2500E+001
223.8333,3.2500E+001
224.8333,3.2500E+001
225.8333,3.2500E+001
226.8333,3.2500E+001
227.8333,3.2500E+001
228.8333,3.2500E+001
229.8333,3.2500E+001
230.8333,3.2500E+001
231.8333,3.2500E+001
232.8333,3.2500E+001
233.8333,3.2500E+001
234.8333,3.2500E+001
235.8333,3.2500E+001
236.8333,3.2500E+001
237.8333,3.2500E+001
238.8333,3.2500E+001
239.8333,3.2500E+001
240.8333,3.2500E+001
241.8333,3.2500E+001
242.8333,3.2500E+001
243.8333,3.2500E+001
244.8333,3.2500E+001
245.8333,3.2500E+001
246.8333,3.2500E+001
247.8333,3.2500E+001
248.8333,3.2500E+001
249.8333,3.2500E+001
250.8333,3.2500E+001
251.8333,3.2500E+001
252.8333,3.2500E+001
253.8333,3.2500E+001
254.8333,3.2500E+001
255.8333,3.2500E+001
256.8333,3.2500E+001
257.8333,3.2500E+001
258.8333,3.2500E+001
259.8333,3.2500E+001
260.8333,3.2500E+001
261.8333,3.2500E+001
262.8333,3.2500E+001
263.8333,3.2500E+001
264.8333,3.2500E+001
265.8333,3.2500E+001
266.8333,3.2500E+001
267.8333,3.2500E+001
268.8333,3.2500E+001
269.8333,3.2500E+001
270.8333,3.2500E+001
271.8333,3.2500E+001
272.8333,3.2500E+001
273.8333,3.2500E+001
274.8333,3.2500E+001
275.8333,3.2500E+001
276.8333,3.2500E+001
277.8333,3.2500E+001
278.8333,3.2500E+001
279.8333,3.2500E+001
280.8333,3.2500E+001
281.8333,3.2500E+001
282.8333,3.2500E+001
283.8333,3.2500E+001
284.8333,3.2500E+001
285.8333,3.2500E+001
286.8333,3.2500E+001
287.8333,3.2500E+001
288.8333,3.2500E+001
289.8333,3.2500E+001
290.8333,3.2500E+001
291.8333,3.2500E+001
292.8333,3.2500E+001
293.8333,3.2500E+001
294.8333,3.2500E+001
295.8333,3.2500E+001
296.8333,3.2500E+001
297.8333,3.2500E+001
298.8333,3.2500E+001
299.8333,3.2500E+001
300.8333,3.2500E+001
301.8333,3.2500E+001
302.8333,3.2500E+001
303.8333,3.2500E+001
304.8333,3.2500E+001
305.8333,3.2500E+001
306.8333,3.2500E+001
307.8333,3.2500E+001
308.8333,3.2500E+001
309.8333,3.2500E+001
310.8333,3.2500E+001
311.8333,3.2500E+001
312.8333,3.2500E+001
313.8333,3.2500E+001
314.8333,3.2500E+001
315.8333,3.2500E+001
316.8333,3.2500E+001
317.8333,3.2500E+001
318.8333,3.2500E+001
319.8333,3.2500E+001
320.8333,3.2500E+001
321.8333,3.2500E+001
322.8333,3.2500E+001
323.8333,3.2500E+001
324.8333,3.2500E+001
325.8333,3.2500E+001
326.8333,3.2500E+001
327.8333,3.2500E+001
328.8333,3.2500E+001
329.8333,3.2500E+001
330.8333,3.2500E+001
331.8333,3.2500E+001
332.8333,3.2500E+001
333.8333,3.2500E+001
334.8333,3.2500E+001
335.8333,3.2500E+001
336.8333,3.2500E+001
337.8333,3.2500E+001
338.8333,3.2500E+001
339.8333,3.2500E+001
340.8333,3.2500E+001
341.8333,3.2500E+001
342.8333,3.2500E+001
343.8333,3.2500E+001
344.8333,3.2500E+001
345.8333,3.2500E+001
346.8333,3.2500E+001
347.8333,3.2500E+001
348.8333,3.2500E+001
349.8333,3.2500E+001
350.8333,3.2500E+001
351.8333,3.2500E+001
352.8333,3.2500E+001
353.8333,3.2500E+001
354.8333,3.2500E+001
355.8333,3.2500E+001
356.8333,3.2500E+001
357.8333,3.2500E+001
358.8333,3.2500E+001
359.8333,3.2500E+001
360.8333,3.2500E+001
361.8333,3.2500E+001
362.8333,3.2500E+001
363.8333,3.2500E+001
364.8333,3.2500E+001
365.8333,3.2500E+001
366.8333,3.2500E+001
367.8333,3.2500E+001
368.8333,3.2500E+001
369.8333,3.2500E+001
370.8333,3.2500E+001
371.8333,3.2500E+001
372.8333,3.2500E+001
373.8333,3.2500E+001
374.8333,3.2500E+001
375.8333,3.2500E+001
376.8333,3.2500E+001
377.8333,3.2500E+001
378.8333,3.2500E+001
379.8333,3.2500E+001
380.8333,3.2500E+001
381.8333,3.2500E+001
382.8333,3.2500E+001
383.8333,3.2500E+001
384.8333,3.2500E+001
385.8333,3.2500E+001
386.8333,3.2500E+001
387.8333,3.2500E+001
388.8333,3.2500E+001
389.8333,3.2500E+001
390.8333,3.2500E+001
391.8333,3.2500E+001
392.8333,3.2500E+001
393.8333,3.2500E+001
394.8333,3.2500E+001
395.8333,3.2500E+001
396.8333,3.2500E+001
397.8333,3.2500E+001
398.8333,3.2500E+001
399.8333,3.2500E+001
400.8333,3.2500E+001
401.8333,3.2500E+001
402.8333,3.2500E+001
403.8333,3.2500E+001
404.8333,3.2500E+001
405.8333,3.2500E+001
406.8333,3.2500E+001
407.8333,3.2500E+001
408.8333,3.2500E+001
409.8333,3.2500E+001
410.8333,3.2500E+001
411.8333,3.2500E+001
412.8333,3.2500E+001
413.8333,3.2500E+001
414.8333,3.2500E+001
415.8333,3.2500E+001
416.8333,3.2500E+001
417.8333,3.2500E+001
418.8333,3.2500E+001
419.8333,3.2500E+001
420.8333,3.2500E+001
421.8333,3.2500E+001
422.8333,3.2500E+001
423.8333,3.2500E+001
424.8333,3.2500E+001
425.8333,3.2500E+001
426.8333,3.2500E+001
427.8333,3.2500E+001
428.8333,3.2500E+001
429.8333,3.2500E+001
430.8333,3.2500E+001
431.8333,3.2500E+001
432.8333,3.2500E+001
433.8333,3.2500E+001
434.8333,3.2500E+001
435.8333,3.2500E+001
436.8333,3.2500E+001
437.8333,3.2500E+001
438.8333,3.2500E+001
439.8333,3.2500E+001
440.8333,3.2500E+001
441.8333,3.2500E+001
442.8333,3.2500E+001
443.8333,3.2500E+001
444.8333,3.2500E+001
445.8333,3.2500E+001
446.8333,3.2500E+001
447.8333,3.2500E+001
448.8333,3.2500E+001
449.8333,3.2500E+001
450.8333,3.2500E+001
451.8333,3.2500E+001
452.8333,3.2500E+001
453.8333,3.2500E+001
454.8333,3.2500E+001
455.8333,3.2500E+001
456.8333,3.2500E+001
457.8333,3.2500E+001
458.8333,3.2500E+001
459.8333,3.2500E+001
460.8333,3.2500E+001
461.8333,3.2500E+001
462.8333,3.2500E+001
463.8333,3.2500E+001
464.8333,3.2500E+001
465.8333,3.2500E+001
466.8333,3.2500E+001
467.8333,3.2500E+001
468.8333,3.2500E+001
469.8333,3.2500E+001
470.8333,3.2500E+001
471.8333,3.2500E+001
472.8333,3.2500E+001
473.8333,3.2500E+001
474.8333,3.2500E+001
475.8333,3.2500E+001
476.8333,3.2500E+001
477.8333,3.2500E+001
478.8333,3.2500E+001
479.8333,3.2500E+001
