wind_speed,swr,mixing/coef_mix_hyp,par_id
0.85748,1.2005,0.36066,p001
0.72313,1.1839,0.37564,p002
1.1624,1.2415,0.39983,p003
1.3258,1.481,0.41677,p004
1.1075,1.3229,0.37073,p005
0.52351,1.1041,0.42827,p006
0.85231,1.0636,0.38726,p007
0.8033,0.9089,0.40742,p008
1.0777,1.135,0.37816,p009
0.58494,0.8275,0.43723,p010
0.76951,1.2574,0.35292,p011
0.71701,1.31,0.38387,p012
1.4153,1.4087,0.42232,p013
0.81965,1.0165,0.44872,p014
0.92483,1.3262,0.38471,p015
1.2367,1.1414,0.44381,p016
1.4786,0.93941,0.3905,p017
1.3546,1.0363,0.35658,p018
1.1683,1.2307,0.35926,p019
1.5096,0.85964,0.36614,p020
0.54917,0.80912,0.43464,p021
1.423,0.89523,0.39494,p022
1.454,1.4248,0.35731,p023
1.5239,1.0507,0.38014,p024
1.1802,0.84944,0.4046,p025
1.2156,1.2775,0.35324,p026
1.0403,1.226,0.37275,p027
0.87859,1.0414,0.39228,p028
1.4989,1.4301,0.39159,p029
0.7845,1.4117,0.42364,p030
1.6041,1.4384,0.42029,p031
1.1525,1.4629,0.36454,p032
0.651,1.1953,0.38634,p033
0.95075,0.84128,0.41897,p034
1.1987,1.1147,0.4123,p035
1.5353,1.4456,0.41069,p036
1.5946,1.2546,0.44472,p037
0.98708,1.187,0.42189,p038
0.79156,1.4709,0.36194,p039
1.3927,0.98927,0.41428,p040
0.53779,1.0695,0.41387,p041
0.69781,0.92116,0.42788,p042
1.1211,0.88265,0.42421,p043
0.99998,1.0181,0.36359,p044
0.73428,1.3382,0.43919,p045
1.4333,1.396,0.40121,p046
0.51479,0.84827,0.38204,p047
0.6892,1.3782,0.40947,p048
1.1427,0.9785,0.39745,p049
1.581,0.91254,0.42625,p050
1.6161,0.94192,0.43232,p051
1.3121,1.1703,0.43823,p052
0.93495,1.1611,0.3506,p053
1.4705,1.2386,0.37452,p054
0.62298,1.2881,0.44082,p055
1.6275,0.94952,0.35836,p056
0.50869,1.0801,0.39323,p057
1.0419,1.2072,0.37117,p058
1.0204,1.0753,0.40048,p059
0.67975,1.2173,0.35592,p060
1.0604,1.4873,0.41757,p061
0.89816,1.3823,0.44231,p062
1.2527,1.0069,0.44954,p063
0.62736,1.1266,0.44519,p064
0.6112,1.1547,0.43008,p065
0.90778,1.3146,0.36567,p066
1.1192,1.3481,0.38172,p067
1.2647,0.95695,0.36215,p068
0.96552,0.99822,0.40644,p069
0.64602,1.1452,0.40846,p070
0.67143,1.0917,0.43165,p071
1.3756,1.4996,0.36854,p072
1.3698,1.366,0.41968,p073
1.0942,1.0587,0.36715,p074
0.75118,1.3458,0.3542,p075
1.6487,0.92897,0.44692,p076
1.3409,0.82999,0.41535,p077
0.56912,0.86375,0.43393,p078
0.97505,0.90433,0.42575,p079
1.2792,0.80687,0.37794,p080
0.94344,1.295,0.38507,p081
0.84379,0.97262,0.44788,p082
0.75556,1.2753,0.41197,p083
0.56118,0.82024,0.44101,p084
1.2308,1.3918,0.43587,p085
1.516,0.87283,0.40564,p086
1.456,0.96108,0.37944,p087
0.59463,1.472,0.39672,p088
1.0095,0.88996,0.39515,p089
1.5684,0.98603,0.39819,p090
1.2885,1.026,0.40275,p091
1.3015,1.1716,0.3889,p092
1.3363,1.3026,0.43627,p093
1.5777,1.0977,0.36926,p094
1.5474,1.3577,0.3764,p095
0.82787,1.4184,0.42978,p096
1.0708,1.1158,0.40361,p097
1.4015,1.3674,0.38942,p098
1.2116,1.2666,0.3735,p099
0.8835,1.4528,0.35107,p100
