!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-01-01 00:00:00	6.2612751	0	10000	2.4937511	95.817164	0.75639338	60.487974	9.5019096e-11
1979-01-02 00:00:00	3.9391628	0	10000	4.2658363	94.073182	1	24.873458	1.6998958e-10
1979-01-03 00:00:00	12.442644	0	10000	-6.720413	74.387291	0.81265134	57.133523	2.9494213e-11
1979-01-04 00:00:00	8.7254361	0	10000	-11.005826	70.192927	0.6797778	70.903497	0
1979-01-05 00:00:00	8.5004689	0	10000	-10.596657	67.411293	0.69663172	69.809977	6.8796296e-12
1979-01-06 00:00:00	5.6748016	0	10000	-9.0570803	86.899581	1	25.47952	2.0643519e-11
1979-01-07 00:00:00	6.2907763	0	10000	-5.3045817	92.276003	0.9882279	37.222858	1.5686112e-10
1979-01-08 00:00:00	6.9562513	0	10000	-2.0329142	92.241768	1	27.890481	1.5442014e-10
1979-01-09 00:00:00	7.497591	0	10000	-8.9429064	81.403242	0.45959503	90.013987	3.75e-13
1979-01-10 00:00:00	5.3130067	0	10000	-11.734165	79.122466	0.64863472	76.710493	6.5740741e-13
1979-01-11 00:00:00	7.6583581	0	10000	-14.843748	74.488323	0.65137324	77.399842	0
1979-01-12 00:00:00	4.2513939	0	10000	-16.14666	80.103012	0.77558234	65.661386	4.6493063e-11
1979-01-13 00:00:00	9.8078915	0	10000	-6.2199997	89.586017	0.97147751	41.422858	6.956366e-11
1979-01-14 00:00:00	10.161618	0	10000	-0.73541234	92.617928	1	28.926964	5.8517362e-11
1979-01-15 00:00:00	13.147759	0	10000	-11.707498	69.645199	0.77892567	66.894135	0
1979-01-16 00:00:00	5.701476	0	10000	-12.369579	85.478538	1	30.299411	2.803125e-11
1979-01-17 00:00:00	6.9561915	0	10000	-12.325411	84.576069	0.63677648	82.74985	5.8993056e-11
