wind_speed,swr,turb_param/k_min,par_id
1.4148,1.1384,2.9185e-05,p001
1.6397,1.4069,2.3713e-05,p002
0.78933,1.2068,4.0897e-05,p003
0.76391,1.4002,4.4211e-05,p004
0.74576,1.3745,4.5939e-05,p005
1.389,0.87198,4.8023e-05,p006
0.99421,1.0735,2.7502e-05,p007
1.5079,1.4748,2.4056e-05,p008
0.71957,1.1897,2.8342e-05,p009
1.3774,1.3882,2.1694e-05,p010
0.71584,1.4188,3.7243e-05,p011
1.1959,1.1829,4.7324e-05,p012
0.67935,1.311,3.9189e-05,p013
0.94026,1.3522,3.8882e-05,p014
1.3596,1.1004,2.1501e-05,p015
1.1211,1.4837,4.1355e-05,p016
0.98039,1.2175,4.9045e-05,p017
1.4373,0.91151,3.3559e-05,p018
1.4685,1.2383,4.0296e-05,p019
1.0748,1.1151,2.9859e-05,p020
1.4606,1.292,4.6679e-05,p021
1.0945,1.169,3.7026e-05,p022
1.2903,1.1586,2.3193e-05,p023
1.3385,0.94879,4.5611e-05,p024
1.0227,1.0051,3.7646e-05,p025
0.63707,1.2539,3.4861e-05,p026
1.1396,0.83776,2.4871e-05,p027
0.82094,1.4381,2.4422e-05,p028
0.55631,1.242,2.6572e-05,p029
1.0324,0.98306,4.2802e-05,p030
0.91663,1.4491,3.6671e-05,p031
1.6305,0.94153,4.2718e-05,p032
1.0838,0.82231,4.6058e-05,p033
0.95484,1.4685,3.5163e-05,p034
0.80674,1.424,2.8069e-05,p035
0.89354,1.2705,2.8844e-05,p036
1.5315,1.0193,4.9682e-05,p037
1.1464,0.85002,2.3391e-05,p038
1.2129,1.2897,2.9996e-05,p039
0.9285,1.1279,3.2831e-05,p040
1.6191,1.2595,3.9962e-05,p041
0.5785,1.3812,3.1298e-05,p042
1.4435,1.3538,4.4003e-05,p043
1.4067,1.3694,3.0289e-05,p044
0.58864,1.4953,2.2247e-05,p045
0.9702,1.0413,3.3156e-05,p046
0.61402,0.84589,2.6121e-05,p047
1.0593,1.3198,4.2084e-05,p048
1.493,1.204,2.4693e-05,p049
0.66597,0.86193,4.9142e-05,p050
1.0499,1.0253,2.5305e-05,p051
1.6085,0.98921,3.407e-05,p052
0.78586,1.2228,3.8061e-05,p053
1.1872,1.4318,2.8731e-05,p054
1.3145,1.0544,3.3947e-05,p055
0.77023,0.81419,2.1879e-05,p056
1.3425,0.95538,2.6443e-05,p057
0.60038,0.92448,4.4894e-05,p058
0.61699,1.0666,4.3584e-05,p059
0.88047,1.4113,2.5748e-05,p060
1.226,1.1125,4.2335e-05,p061
1.5855,1.156,4.3878e-05,p062
0.64918,1.4615,4.3248e-05,p063
1.0011,0.80774,3.3231e-05,p064
1.2565,0.92706,2.79e-05,p065
0.84303,1.1307,4.7913e-05,p066
1.2771,1.1732,3.5269e-05,p067
0.50798,1.2686,3.6385e-05,p068
1.5499,1.1954,4.4634e-05,p069
0.85014,1.2981,4.1658e-05,p070
0.52629,1.1032,3.1999e-05,p071
1.5436,0.9972,4.1193e-05,p072
0.52054,1.2295,4.0677e-05,p073
1.5654,0.96754,3.829e-05,p074
0.82941,1.2809,4.512e-05,p075
1.2371,0.97197,3.6228e-05,p076
1.3231,0.91541,4.8343e-05,p077
0.65986,1.3393,3.5866e-05,p078
0.54373,1.0902,3.9741e-05,p079
1.2161,0.88702,2.2547e-05,p080
0.69775,1.4868,4.6467e-05,p081
1.1052,0.86558,2.9453e-05,p082
1.1186,1.0497,2.1226e-05,p083
0.73394,1.4521,3.9389e-05,p084
1.012,1.0639,3.0655e-05,p085
1.3651,1.0373,3.8477e-05,p086
1.1609,1.3306,4.7074e-05,p087
1.4218,0.83177,4.8674e-05,p088
1.3019,0.98002,2.7138e-05,p089
1.2686,0.87995,3.2553e-05,p090
0.91139,0.89915,3.1693e-05,p091
0.87447,0.89617,3.2275e-05,p092
1.5963,0.80088,4.7539e-05,p093
0.86503,1.3368,2.5525e-05,p094
1.5696,1.1495,3.4555e-05,p095
1.1752,1.0144,3.0971e-05,p096
1.4868,1.3646,3.5703e-05,p097
0.68586,1.3103,2.7013e-05,p098
0.56308,1.0862,2.275e-05,p099
1.5202,0.93757,4.9864e-05,p100
