"datetime","Depth_meter","Water_Temperature_celsius"
1986-07-02 20:00:00,0,18.2
1986-07-02 20:00:00,0.5,18.2
1986-07-02 20:00:00,2,18.2
1986-07-02 20:00:00,5,18.1
1986-07-02 20:00:00,10,17.3
1986-07-02 20:00:00,13,17.1
1986-07-02 20:00:00,15,13
1986-07-02 20:00:00,20,11.2
1986-07-02 20:00:00,25,10.2
1986-08-02 20:00:00,0.1,24
1986-08-02 20:00:00,0.5,23
1986-08-02 20:00:00,3.5,22
1986-08-02 20:00:00,7,21
1986-08-02 20:00:00,8,20
1986-08-02 20:00:00,10,16.5
1986-08-02 20:00:00,11,15.5
1986-08-02 20:00:00,12,13.5
1986-08-02 20:00:00,13.5,12
1986-08-05 20:00:00,0.1,22.4
1986-08-05 20:00:00,1,22.3
1986-08-05 20:00:00,2,22.2
1986-08-05 20:00:00,3,22
1986-08-05 20:00:00,4,22
1986-08-05 20:00:00,5,22
1986-08-05 20:00:00,6,21.5
1986-08-05 20:00:00,7,20.7
1986-08-05 20:00:00,8,18.7
1986-08-05 20:00:00,9,17.2
1986-08-05 20:00:00,10,15.9
1986-08-05 20:00:00,11,14.2
1986-08-05 20:00:00,12,12.5
1986-08-05 20:00:00,13,11.5
1986-08-05 20:00:00,14,10.8
1986-08-05 20:00:00,15,10.2
1986-08-05 20:00:00,20,9
1986-08-05 20:00:00,25,8.8
1986-08-05 20:00:00,30,8.2
1986-09-01 20:00:00,0.1,20
1986-09-01 20:00:00,0.5,19
1986-09-01 20:00:00,1,19.5
1986-09-01 20:00:00,2,19.5
1986-09-01 20:00:00,3,19
1986-09-01 20:00:00,4,19
1986-09-01 20:00:00,5,19
1986-09-01 20:00:00,6,19
1986-09-01 20:00:00,7,19
1986-09-01 20:00:00,8,19
1986-09-01 20:00:00,9,18.5
1986-09-01 20:00:00,10,18.5
1986-09-01 20:00:00,11,18
1986-09-01 20:00:00,11.5,16
1986-09-01 20:00:00,12,15
1986-09-01 20:00:00,12.5,14
1986-09-01 20:00:00,13,13
1986-09-01 20:00:00,14,12
1986-09-01 20:00:00,15,11.5
1986-09-01 20:00:00,16,11
1986-09-01 20:00:00,17,10.5
1986-09-01 20:00:00,18,10
1986-09-01 20:00:00,19,10
1986-09-01 20:00:00,21,10
1986-09-01 20:00:00,22,10
1986-09-01 20:00:00,22.5,10
1987-05-28 20:00:00,0.1,19.5
1987-05-28 20:00:00,0.5,19
1987-05-28 20:00:00,1,18
1987-05-28 20:00:00,2,16.5
1987-05-28 20:00:00,2.5,16
1987-05-28 20:00:00,3,16
1987-05-28 20:00:00,4,15
1987-05-28 20:00:00,5,14.8
1987-05-28 20:00:00,5.5,14
1987-05-28 20:00:00,6,13.5
1987-05-28 20:00:00,7,13
1987-05-28 20:00:00,8,12.5
1987-05-28 20:00:00,9,11
1987-05-28 20:00:00,10,10.5
1987-05-28 20:00:00,11,10
1987-05-28 20:00:00,12,9.5
1987-05-28 20:00:00,13,9
1987-05-28 20:00:00,14,9
1987-05-28 20:00:00,15,9
1987-05-28 20:00:00,16,9
1987-05-28 20:00:00,17,8
1987-05-28 20:00:00,17.5,8
1987-06-30 20:00:00,0.1,21
1987-06-30 20:00:00,0.5,22
1987-06-30 20:00:00,1,21.5
1987-06-30 20:00:00,2,23
1987-06-30 20:00:00,2.5,23
1987-06-30 20:00:00,3,23
1987-06-30 20:00:00,3.5,23
1987-06-30 20:00:00,4,23
1987-06-30 20:00:00,4.5,23
1987-06-30 20:00:00,5,23
1987-06-30 20:00:00,5.5,23
1987-06-30 20:00:00,6,23
1987-06-30 20:00:00,6.5,23
1987-06-30 20:00:00,7,22
1987-06-30 20:00:00,7.5,22
1987-06-30 20:00:00,8,21
1987-06-30 20:00:00,9,18
1987-06-30 20:00:00,9.5,16
1987-06-30 20:00:00,10,15.5
1987-06-30 20:00:00,10.5,14.5
1987-06-30 20:00:00,11,14
1987-06-30 20:00:00,11.5,13
1987-06-30 20:00:00,12,13
1987-06-30 20:00:00,13,12.5
1987-06-30 20:00:00,14,12
1987-06-30 20:00:00,15,11
1987-06-30 20:00:00,16,11
1987-06-30 20:00:00,17,11
1987-06-30 20:00:00,18,10.5
1987-06-30 20:00:00,18.5,10.5
1987-06-30 20:00:00,19,10.5
1987-08-10 20:00:00,0.1,21.3
1987-08-10 20:00:00,0.5,21
1987-08-10 20:00:00,1,21.5
1987-08-10 20:00:00,2,21.3
1987-08-10 20:00:00,3,21.3
1987-08-10 20:00:00,4,21.3
1987-08-10 20:00:00,5,21.3
1987-08-10 20:00:00,6,21.2
1987-08-10 20:00:00,7,21.2
