Depth_meter,Area_meterSquared
0,16476140.576996487
0.5,16063292.644444147
1,15773894.769645642
1.5,15503355.676980933
2,15227076.293545732
2.5,14944819.976022057
3,14684206.3802373
3.5,14411939.791351316
4,14140798.948535165
4.5,13856297.900109485
5,13569017.983006923
5.5,13277350.0226652
6,12980797.068116551
6.5,12665770.721980538
7,12347559.832908245
7.5,12003448.332682762
8,11633983.88155428
8.5,11243289.144183934
9,10831688.659979247
9.5,10352414.948069207
10,9834901.366282605
10.5,9259457.500253877
11,8609028.127994139
11.5,8010080.5095615005
12,7463226.536963891
12.5,6915287.385722391
13,6457014.077973889
13.5,6004956.0379412575
14,5568849.4478500625
14.5,5148408.645409312
15,4786912.312859184
15.5,4404248.235515517
16,4041012.5745782177
16.5,3643536.3158382587
17,3255038.9807063225
17.5,2971088.9731496586
18,2717182.5251202923
18.5,2478588.590073811
19,2228601.969575884
19.5,1982166.689157109
20,1734414.657704703
20.5,1500065.0895971796
21,1277971.9550517374
21.5,1083922.7439966404
22,921933.6315999351
22.5,794447.1149650841
23,673760.7131034029
23.5,573559.1710319389
24,481302.0832070315
24.5,399208.8258894742
25,325507.95481322624
25.5,267640.2120194244
26,213528.33674388833
26.5,167573.89470109323
27,133122.0082216637
27.5,104204.19476419732
28,78536.84631016254
28.5,62363.965835470095
29,51569.64991663795
29.5,41316.233010337324
30,33010.05254915017
30.5,24943.896024773876
31,6774.760131957288
31.5,153.818156688651
32,64.231757738118
32.5,38.877116525703
33,15.212784727449
